Symbol,DateTime,Open,High,Low,Close,Volume,RSI_RSI,MACD_MACD,MACD_MACD_Signal,MACD_MACD_Hist
AAPL,2021-06-15 19:37:00,127.1874,127.1874,127.1482,127.1874,1480,,,,
AAPL,2021-06-15 19:36:00,127.1776,127.1874,127.1776,127.1874,323,,,,
AAPL,2021-06-15 19:31:00,127.1678,127.1678,127.1678,127.1678,100,,,,
AAPL,2021-06-15 19:30:00,127.1776,127.1776,127.1776,127.1776,423,,,,
AAPL,2021-06-15 19:28:00,127.1776,127.1776,127.1776,127.1776,300,,,,
AAPL,2021-06-15 19:27:00,127.1776,127.1874,127.1776,127.1776,411,,,,
AAPL,2021-06-15 19:26:00,127.1776,127.1776,127.1776,127.1776,152,,,,
AAPL,2021-06-15 19:23:00,127.1874,127.1874,127.1874,127.1874,449,,,,
AAPL,2021-06-15 19:22:00,127.1972,127.1972,127.1972,127.1972,234,,,,
AAPL,2021-06-15 19:21:00,127.2071,127.2071,127.1972,127.1972,454,,,,
AAPL,2021-06-15 19:19:00,127.1972,127.2071,127.1972,127.2071,230,,,,
AAPL,2021-06-15 19:18:00,127.2071,127.2071,127.2071,127.2071,100,,,,
AAPL,2021-06-15 19:17:00,127.1874,127.1874,127.1874,127.1874,400,,,,
AAPL,2021-06-15 19:12:00,127.1875,127.1875,127.1875,127.1875,134,,,,
AAPL,2021-06-15 19:11:00,127.1874,127.1874,127.1874,127.1874,959,,,,
AAPL,2021-06-15 19:10:00,127.1776,127.1776,127.1776,127.1776,100,,,,
AAPL,2021-06-15 19:09:00,127.1776,127.1874,127.1776,127.1874,447,,,,
AAPL,2021-06-15 19:08:00,127.1776,127.1776,127.1776,127.1776,402,,,,
AAPL,2021-06-15 19:07:00,127.1874,127.1972,127.1874,127.1972,624,,,,
AAPL,2021-06-15 19:06:00,127.1923,127.1923,127.1923,127.1923,100,,,,
AAPL,2021-06-15 19:05:00,127.1923,127.1972,127.1923,127.1923,2500,,,,
AAPL,2021-06-15 19:04:00,127.1923,127.1923,127.1923,127.1923,200,,,,
AAPL,2021-06-15 19:03:00,127.1874,127.1874,127.1874,127.1874,200,,,,
AAPL,2021-06-15 19:01:00,127.1874,127.1874,127.1874,127.1874,1642,,,,
AAPL,2021-06-15 18:59:00,127.1972,127.1972,127.1972,127.1972,300,,,,
AAPL,2021-06-15 18:56:00,127.2169,127.2169,127.2169,127.2169,697,,,,
AAPL,2021-06-15 18:55:00,127.2267,127.2267,127.2267,127.2267,250,,,,
AAPL,2021-06-15 18:54:00,127.2169,127.2169,127.2169,127.2169,232,,,,
AAPL,2021-06-15 18:52:00,127.2267,127.2267,127.1972,127.2169,1111,,,,
AAPL,2021-06-15 18:51:00,127.2267,127.2267,127.2267,127.2267,198,,,,
AAPL,2021-06-15 18:47:00,127.2169,127.2267,127.1874,127.2267,1097,,,,
AAPL,2021-06-15 18:46:00,127.2071,127.2071,127.2071,127.2071,290,,,,
AAPL,2021-06-15 18:43:00,127.2365,127.2365,127.2365,127.2365,827,,,,
AAPL,2021-06-15 18:42:00,127.1972,127.2365,127.1972,127.2365,2229,,,,
AAPL,2021-06-15 18:40:00,127.2365,127.2365,127.2365,127.2365,107,,,,
AAPL,2021-06-15 18:39:00,127.2365,127.2365,127.2365,127.2365,1330,,,,
AAPL,2021-06-15 18:38:00,127.2169,127.2365,127.2169,127.2365,1932,,,,
AAPL,2021-06-15 18:35:00,127.2071,127.2071,127.2071,127.2071,885,,,,
AAPL,2021-06-15 18:34:00,127.1874,127.1874,127.1874,127.1874,300,,,,
AAPL,2021-06-15 18:33:00,127.2071,127.2071,127.1874,127.1874,300,,,,
AAPL,2021-06-15 18:32:00,127.1874,127.1874,127.1874,127.1874,1599,,,,
AAPL,2021-06-15 18:31:00,127.1972,127.1972,127.1972,127.1972,910,,,,
AAPL,2021-06-15 18:29:00,127.1972,127.1972,127.1972,127.1972,439,,,,
AAPL,2021-06-15 18:28:00,127.2169,127.2169,127.2169,127.2169,108,,,,
AAPL,2021-06-15 18:26:00,127.2071,127.2071,127.2071,127.2071,100,,,,
AAPL,2021-06-15 18:25:00,127.2267,127.2267,127.2267,127.2267,100,,,,
AAPL,2021-06-15 18:24:00,127.2071,127.2071,127.2071,127.2071,200,,,,
AAPL,2021-06-15 18:23:00,127.2267,127.2267,127.2267,127.2267,100,,,,
AAPL,2021-06-15 18:21:00,127.1972,127.1972,127.1972,127.1972,3000,,,,
AAPL,2021-06-15 18:19:00,127.2071,127.2071,127.2071,127.2071,300,,,,
AAPL,2021-06-15 18:18:00,127.1972,127.2071,127.1972,127.2071,350,,,,
AAPL,2021-06-15 18:17:00,127.1972,127.2365,127.1874,127.2365,7575,,,,
AAPL,2021-06-15 18:16:00,127.2071,127.2071,127.2071,127.2071,1000,,,,
AAPL,2021-06-15 18:12:00,127.2365,127.2365,127.2267,127.2267,2940,,,,
AAPL,2021-06-15 18:10:00,127.2267,127.2463,127.2267,127.2463,200,,,,
AAPL,2021-06-15 18:09:00,127.2463,127.2463,127.2463,127.2463,100,,,,
AAPL,2021-06-15 18:07:00,127.2659,127.2659,127.2659,127.2659,100,,,,
AAPL,2021-06-15 18:06:00,127.2365,127.2463,127.2365,127.2463,600,,,,
