Symbol_x,DateTime,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,MACD_Hist,title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment,Symbol_y
AAPL,2024-10-16 11:59:00,229.9567,229.9767,229.8768,229.9455,40426,36.2547,-0.1278,-0.1161,-0.0117,,,,,,,,,,,,,,
AAPL,2024-10-16 12:00:00,229.9368,229.9467,229.8968,229.9402,38115,36.0020,-0.1245,-0.1178,-0.0068,,,,,,,,,,,,,,
AAPL,2024-10-16 12:01:00,229.9295,229.9867,229.9167,229.9267,44210,35.3266,-0.1217,-0.1186,-0.0031,,,,,,,,,,,,,,
AAPL,2024-10-16 12:02:00,229.9267,230.0266,229.9267,230.0065,42276,42.2341,-0.1117,-0.1172,0.0055,,,,,,,,,,,,,,
AAPL,2024-10-16 12:03:00,230.0049,230.0066,229.9527,229.9967,43424,41.6406,-0.1034,-0.1144,0.0110,,,,,,,,,,,,,,
AAPL,2024-10-16 12:04:00,229.9867,229.9867,229.9168,229.9367,52587,38.1425,-0.1005,-0.1116,0.0112,,,,,,,,,,,,,,
AAPL,2024-10-16 12:05:00,229.9417,229.9857,229.8868,229.9817,58168,42.0730,-0.0935,-0.1080,0.0145,,,,,,,,,,,,,,
AAPL,2024-10-16 12:06:00,229.9817,229.9867,229.9068,229.9267,45427,38.8258,-0.0913,-0.1047,0.0134,,,,,,,,,,,,,,
AAPL,2024-10-16 12:07:00,229.9267,229.9767,229.9028,229.9320,141633,39.3119,-0.0881,-0.1014,0.0132,,,,,,,,,,,,,,
AAPL,2024-10-16 12:08:00,229.9320,230.0866,229.9068,230.0166,55446,46.6126,-0.0779,-0.0967,0.0188,,,,,,,,,,,,,,
AAPL,2024-10-16 12:09:00,230.0466,230.0766,229.9667,229.9767,32895,43.9252,-0.0722,-0.0918,0.0196,,,,,,,,,,,,,,
AAPL,2024-10-16 12:10:00,229.9867,230.0666,229.9667,230.0666,38902,50.7987,-0.0597,-0.0854,0.0257,,,,,,,,,,,,,,
AAPL,2024-10-16 12:11:00,230.0567,230.1565,229.9217,229.9217,49450,41.8897,-0.0608,-0.0804,0.0196,,,,,,,,,,,,,,
AAPL,2024-10-16 12:12:00,229.9267,229.9566,229.8169,229.8668,88620,39.0893,-0.0654,-0.0774,0.0121,,,,,,,,,,,,,,
AAPL,2024-10-16 12:13:00,229.8818,229.9043,229.8218,229.8244,43629,37.0340,-0.0716,-0.0763,0.0047,,,,,,,,,,,,,,
AAPL,2024-10-16 12:14:00,229.8368,229.9166,229.8368,229.9166,37982,43.9440,-0.0682,-0.0746,0.0064,,,,,,,,,,,,,,
AAPL,2024-10-16 12:15:00,229.9068,229.9767,229.9068,229.9267,59337,44.6596,-0.0641,-0.0725,0.0085,,,,,,,,,,,,,,
